Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings

Quick 0,0.11,0.17,0.11,14.33,23.08,15.09,0.37
Quick 1,0.11,0.18,0.11,14.73,23.98,14.82,0.35
Quick 2,0.11,0.18,0.11,14.77,31.27,20.46,0.4
Quick 3,0.15,0.22,0.15,19.4,21.02,12.12,0.47
Quick 4,0.08,0.15,0.08,11.86,20.35,11.81,0.45
Quick 5,0.08,0.14,0.08,11.99,20.23,11.81,0.41
Quick 6,0.08,0.15,0.07,12.11,20.15,11.71,0.21
Quick 7,0.07,0.15,0.08,11.8,20.13,11.68,0.22
Quick 8,0.08,0.14,0.08,11.85,20.02,11.69,0.21
Quick 9,0.08,0.14,0.08,11.68,20.15,11.86,0.23
Quick 10,0.08,0.14,0.08,11.61,20.27,12.06,0.21
Quick 11,0.07,0.14,0.08,11.59,20.2,11.75,0.21
Quick 12,0.08,0.14,0.07,11.68,20.27,12.19,0.22
Quick 13,0.08,0.13,0.08,12.03,20.1,11.84,0.22
Quick 14,0.08,0.14,0.08,11.96,20.15,11.7,0.21
Quick 15,0.08,0.14,0.08,11.62,20.27,11.72,0.21
Quick 16,0.08,0.13,0.08,11.7,20.15,11.78,0.2
Quick 17,0.07,0.15,0.08,12.01,20.17,12.19,0.21
Quick 18,0.08,0.14,0.08,12.06,20.18,11.76,0.21
Quick 19,0.08,0.14,0.08,11.72,20.24,11.74,0.22
Quick 20,0.08,0.14,0.08,11.98,20.22,11.84,0.21
Quick 21,0.08,0.14,0.08,11.71,20.24,12.33,0.23
Quick 22,0.08,0.13,0.08,11.97,20.23,11.85,0.22
Quick 23,0.08,0.14,0.08,11.65,20.33,12.26,0.22
Quick 24,0.08,0.13,0.08,11.86,20.19,11.93,0.21
Quick 25,0.08,0.13,0.08,11.76,20.34,11.96,0.21
Quick 26,0.08,0.13,0.08,11.65,20.3,12.3,0.22
Quick 27,0.08,0.14,0.07,12.05,20.28,11.84,0.23
Quick 28,0.08,0.14,0.08,12.05,20.29,11.77,0.22
Quick 29,0.08,0.13,0.08,11.83,20.24,11.92,0.21
Average,0.08,0.15,0.08,12.37,20.83,12.39,0.25

Merge 0,0.12,0.19,0.13,15.14,27.47,16.09,0.45
Merge 1,0.12,0.18,0.13,15.21,27.55,16.23,0.43
Merge 2,0.12,0.19,0.12,14.95,27.93,13.34,0.35
Merge 3,0.1,0.17,0.1,12.57,25.09,14.11,0.37
Merge 4,0.1,0.17,0.09,12.56,25.31,13.67,0.35
Merge 5,0.1,0.16,0.1,12.92,25.54,13.75,0.36
Merge 6,0.1,0.16,0.1,12.89,28.13,13.74,0.35
Merge 7,0.09,0.16,0.09,12.92,26.06,14.16,0.37
Merge 8,0.11,0.17,0.11,12.94,25.68,13.74,0.35
Merge 9,0.11,0.17,0.1,12.94,25.68,13.67,0.34
Merge 10,0.1,0.17,0.11,12.61,25.28,13.68,0.34
Merge 11,0.1,0.16,0.1,12.62,25.25,13.73,0.34
Merge 12,0.1,0.16,0.1,12.89,26.14,14.18,0.35
Merge 13,0.09,0.16,0.09,12.98,25.58,13.65,0.35
Merge 14,0.1,0.18,0.1,12.71,25.38,13.5,0.36
Merge 15,0.1,0.16,0.1,12.88,25.45,13.46,0.35
Merge 16,0.1,0.16,0.1,12.64,25.18,13.69,0.37
Merge 17,0.1,0.16,0.09,12.85,25.18,13.37,0.36
Merge 18,0.1,0.17,0.1,12.62,25.34,13.76,0.34
Merge 19,0.09,0.16,0.1,12.92,25.76,13.43,0.35
Merge 20,0.1,0.18,0.09,12.69,25.26,13.5,0.34
Merge 21,0.1,0.16,0.1,12.63,25.27,13.43,0.36
Merge 22,0.12,0.17,0.09,12.88,25.57,13.72,0.38
Merge 23,0.1,0.16,0.11,12.85,25.28,13.65,0.37
Merge 24,0.1,0.17,0.1,12.62,25.46,13.45,0.37
Merge 25,0.09,0.16,0.1,12.59,25.56,13.43,0.36
Merge 26,0.1,0.16,0.1,12.53,25.46,13.45,0.34
Merge 27,0.09,0.17,0.1,12.64,27.11,13.69,0.36
Merge 28,0.1,0.17,0.09,12.9,25.67,13.47,0.36
Merge 29,0.1,0.17,0.1,12.68,25.78,13.49,0.34
Average,0.1,0.17,0.1,12.99,25.85,13.81,0.36

Radix 0,0.04,0.03,0.03,2.67,2.75,2.82,0.17
Radix 1,0.04,0.04,0.04,2.67,2.72,2.81,0.19
Radix 2,0.04,0.04,0.04,2.62,2.69,2.7,0.18
Radix 3,0.04,0.04,0.04,2.73,2.65,2.82,0.17
Radix 4,0.04,0.04,0.04,2.65,2.71,2.72,0.5
Radix 5,0.04,0.04,0.03,2.67,2.77,2.79,0.18
Radix 6,0.04,0.04,0.04,2.71,2.77,2.71,0.17
Radix 7,0.04,0.05,0.04,2.8,2.75,2.78,0.17
Radix 8,0.04,0.04,0.04,2.71,2.77,2.74,0.17
Radix 9,0.04,0.04,0.04,2.67,2.81,2.85,0.17
Radix 10,0.04,0.03,0.04,2.73,2.8,2.8,0.17
Radix 11,0.05,0.05,0.04,2.77,2.73,2.67,0.17
Radix 12,0.05,0.04,0.04,2.69,2.78,2.79,0.18
Radix 13,0.04,0.04,0.04,2.76,2.81,2.82,0.17
