Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings

Insertion 0,0.01,6.64,25.8,4.52,31361.48,144870.08,15.69
Insertion 1,0.01,10.51,24.45,1.48,30299.25,143804.49,49.03
Insertion 2,0.01,8.72,19.64,2.11,29758.18,106765.7,20.29
Insertion 3,0.01,9.48,14.57,6.99,29912.1,151555.39,31.06
Insertion 4,0.01,9.74,11.6,8.26,35862.86,85156.22,14.81
Insertion 5,0.01,9.13,11.63,6.37,30759.73,149839.89,29.05
Insertion 6,0.26,8.38,13.29,4.51,33596.17,86573.88,15.42
Insertion 7,0.26,8.06,11.77,8.77,31485,143323.19,16.01
Insertion 8,0.01,8.24,16.14,5.34,29827.6,142486.86,15.11
Insertion 9,0.01,8.16,17.05,5.68,32652.29,143445.12,16.02
Insertion 10,0.01,8.31,18.04,4.42,32251.55,113207.48,15.44
Insertion 11,0.01,8.22,14.85,7.28,32332.24,146132.63,16.03
Insertion 12,0.01,8.35,14.32,4.37,30917.01,149316.89,8.2
Insertion 13,0.01,8.17,9.94,3.75,30685.79,151060.11,16.11
Insertion 14,0.01,7.23,14.73,1.62,29360.4,139022.05,15.64
Insertion 15,0.01,7.67,8.31,1.54,32302.62,142205.95,31.74
Insertion 16,0.01,5.78,8.3,5.06,32424.76,88448.31,17.42
Insertion 17,0.01,2.8,5.37,1.3,33355.03,83036.36,15.98
Insertion 18,0.01,2.39,8.51,1.12,37477.61,81315.79,15.92
Insertion 19,0.01,2.92,5.43,1.45,38337.53,71117.99,15.93
Insertion 20,0.02,2.8,5.35,1.37,35643.5,55814.28,15.96
Insertion 21,0.01,2.8,5.33,1.31,32318.55,44708.64,8.13
Insertion 22,0.02,2.43,5,1.05,40389.37,28489.1,8.17
Insertion 23,0.01,2.82,17.41,13.27,44273.44,26990.76,9.4
Insertion 24,0.01,1.45,4.64,1.3,37580.92,27052.6,8.12
Insertion 25,0.01,2.96,5.3,1.17,40755,26651.46,8.03
Insertion 26,0.01,2.77,4.77,1.33,25347.39,26434.41,8
Insertion 27,3.73,5.8,5.3,1.01,23140.26,26263.5,7.88
Insertion 28,0.01,8.81,5.54,1.14,17015.03,26385.48,7.92
Insertion 29,0.01,2.37,4.8,1.59,19194.53,26438.62,7.78

Merge 0,0.16,0.22,0.16,15.98,21.2,16.67,0.93
Merge 1,0.17,0.23,0.16,15.1,22.69,14.87,0.64
Merge 2,0.16,0.22,0.16,15.81,14.27,10.93,0.72
Merge 3,0.16,0.24,0.17,11.22,15.88,10.16,0.66
Merge 4,0.17,0.25,0.18,10.49,12.47,9.32,0.65
Merge 5,0.17,0.25,0.17,9.5,13.03,9.33,0.65
Merge 6,0.17,0.25,0.17,12.19,15.03,11.78,0.78
Merge 7,0.17,0.24,0.17,11.07,14.2,11.29,0.63
Merge 8,0.18,0.25,0.17,11.5,14.03,11.3,0.64
Merge 9,0.21,0.25,0.17,12.28,13.17,13.32,0.64
Merge 10,0.2,0.28,0.21,9.69,12.01,10.22,0.67
Merge 11,0.2,0.26,0.2,11.4,12.55,10.5,0.59
Merge 12,0.2,0.32,0.2,10.84,12.2,14.24,0.57
Merge 13,0.15,0.21,0.14,9.29,13.14,9.47,0.55
Merge 14,0.14,0.21,0.14,8.92,12.83,12.96,0.5
Merge 15,0.15,0.22,0.15,9.83,13.2,11.03,0.5
Merge 16,0.14,0.22,0.15,9.17,11.14,11.97,0.71
Merge 17,0.14,0.21,0.14,10.58,10.33,12.13,0.49
Merge 18,0.14,0.21,0.14,8.44,14.55,8,0.49
Merge 19,0.19,0.34,0.14,9.1,11.61,10.05,0.49
Merge 20,0.14,0.2,0.14,9.69,13.01,10,0.48
Merge 21,0.14,0.21,0.15,10.72,13.72,9.73,0.51
Merge 22,0.14,0.21,0.14,12.24,10.99,8.37,0.74
Merge 23,0.14,0.21,0.15,9.12,11.63,9.76,0.49
Merge 24,0.14,0.21,0.14,10.77,11.66,9.42,0.49
Merge 25,0.18,0.21,0.14,10.46,10.71,8.84,0.7
Merge 26,0.14,0.21,0.14,9.85,10.46,9.05,0.58
Merge 27,0.14,0.21,0.15,8.45,10.69,10.05,0.49
Merge 28,0.15,0.21,0.14,8.86,18.97,9.64,0.49
Merge 29,0.14,0.21,0.14,9.1,10.85,9.67,0.74

Radix 0,0.26,0.23,0.19,15.42,15.59,14.6,0.21
Radix 1,0.22,0.18,0.17,15.96,15.75,15.5,0.2
Radix 2,0.18,0.18,0.18,15.7,15.22,15.26,0.2
Radix 3,0.21,0.22,0.18,15.5,15.46,15.63,0.21
Radix 4,0.25,0.2,0.18,15.91,15.11,15.05,0.83
Radix 5,0.23,0.2,0.18,14.8,15.55,15.27,0.2
Radix 6,0.23,0.22,0.2,15.23,15.53,16.06,0.21
Radix 7,0.23,0.2,0.18,16.49,15.9,15.32,0.2
Radix 8,0.21,0.24,0.18,14.68,15.14,15.42,0.21
Radix 9,0.2,0.2,0.22,15.21,15.75,15.83,0.21
Radix 10,0.25,0.27,0.18,15.2,15.74,15.88,0.2
Radix 11,0.18,0.19,0.18,15.62,15.6,15.84,0.19
Radix 12,0.23,0.18,0.18,15.89,14.95,15.83,0.2
Radix 13,0.3,0.17,0.18,15.25,15.27,16.17,0.2
Radix 14,0.2,0.2,0.24,15.6,16.09,15.52,0.2
Radix 15,0.25,0.18,0.19,16.23,15.65,15.78,0.2
Radix 16,0.27,0.18,0.21,15.81,16.06,15.7,0.2
Radix 17,0.22,0.16,0.16,16,15.27,15.79,0.21
Radix 18,0.22,0.22,0.19,15.61,15.29,15.7,0.2
Radix 19,0.22,0.21,0.18,16.08,15.66,15.36,0.19
Radix 20,0.23,0.17,0.19,15.67,14.98,15.21,0.2
Radix 21,0.23,0.32,0.17,15.55,15.93,15.52,0.2
Radix 22,0.22,0.21,0.18,14.67,15.57,16.62,1.33
Radix 23,0.21,0.21,0.17,15.96,15.17,15.15,0.2
Radix 24,0.2,0.22,0.23,15.51,15.59,15.63,0.2
Radix 25,0.35,0.31,0.19,15.62,15.46,15.51,0.2
Radix 26,0.25,0.27,0.17,14.8,15.6,15.92,0.21
Radix 27,0.34,0.27,0.18,15.93,15.14,15.38,0.2
Radix 28,0.21,0.17,0.2,15.62,16,15.55,0.2
Radix 29,0.22,0.27,0.18,15.64,15.6,15.53,0.21

Quick 0,0.01,1.35,2.57,0.69,12700.03,25391.97,7.67
Quick 1,0.01,1.31,2.52,0.67,12668.2,25341.49,7.64
Quick 2,0.01,1.32,2.51,0.67,12671.29,25451.21,7.68
Quick 3,0.01,1.33,2.52,0.67,12770.79,25518.77,7.69
Quick 4,0.01,1.34,2.55,0.66,12786.56,25352.94,7.64
Quick 5,0.01,1.32,2.51,0.66,12677.19,25449.58,7.64
Quick 6,0.01,1.32,2.52,0.67,12777.18,25390.27,7.63
Quick 7,0.01,1.33,2.52,0.69,12683.16,25636.67,7.69
Quick 8,0.01,1.33,2.53,0.67,12751.81,25398.18,7.68
Quick 9,0.01,1.32,2.52,0.67,12727.36,25533.4,7.66
Quick 10,0.01,1.35,2.52,0.68,12679.22,25553.88,7.66
Quick 11,0.01,1.33,2.55,0.67,12689.6,25492.44,7.67
Quick 12,0.01,1.33,2.52,0.67,12731.58,25516.64,7.72
Quick 13,0.01,1.33,2.52,0.67,12775.82,25400.95,7.62
Quick 14,0.01,1.33,2.53,0.66,12684.16,25475.15,7.63
Quick 15,0.01,1.33,2.52,0.66,12700.43,25382.35,7.64
Quick 16,0.01,1.32,2.53,0.67,12674.64,25405.36,7.64
Quick 17,0.01,1.32,2.52,0.67,12658.37,25359.63,7.64
Quick 18,0.01,1.34,2.53,0.66,12632.9,25519.04,7.76
Quick 19,0.01,1.34,2.52,0.66,12682.51,25379.94,7.62
Quick 20,0.01,1.33,2.51,0.67,12652.8,25361.77,7.63
Quick 21,0.01,1.32,2.52,0.67,12678.75,25396.4,7.67
Quick 22,0.01,1.32,2.51,0.68,12647.36,25341.13,7.66
Quick 23,0.01,1.32,2.52,0.67,12635.69,25507.62,7.69
Quick 24,0.01,1.32,2.53,1.47,12695.68,25395.83,7.67
Quick 25,0.01,1.32,2.52,0.68,12669.69,25382.05,7.63
Quick 26,0.01,1.32,2.5,0.67,12680.07,25339.98,7.67
Quick 27,0.01,1.32,2.54,0.67,12619.46,25342.25,7.62
Quick 28,0.01,1.33,2.53,0.67,12611.01,25278.4,7.6
Quick 29,0.01,1.32,2.53,0.66,12712.5,25481.33,7.67

