Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings

Quick 0,0.39,0.68,0.38,90.07,88.99,54.22,1.26
Quick 1,0.33,0.65,0.34,53.94,88.51,53.94,1.63
Quick 2,0.33,0.62,0.34,52.96,88.63,54.4,1.16
Quick 3,0.36,0.64,0.34,52.01,90.2,53.7,1.03
Quick 4,0.34,0.61,0.34,52.47,89.95,53.9,1.02
Quick 5,0.34,0.63,0.38,52.37,88.74,55.95,1.02
Quick 6,0.32,0.64,0.32,51.83,88.56,52.74,1
Quick 7,0.35,0.61,0.36,49.57,82.52,47.41,0.87
Quick 8,0.29,0.52,0.29,43.38,70.12,40.54,0.76
Quick 9,0.24,0.46,0.25,37.59,61.46,36.67,0.65
Quick 10,0.22,0.39,0.22,32.88,53.13,30.88,0.57
Quick 11,0.18,0.35,0.19,28.96,47.63,29.15,0.49
Quick 12,0.17,0.31,0.17,26.38,42.85,25,0.45
Quick 13,0.15,0.26,0.16,24.22,39.62,23.73,0.42
Quick 14,0.14,0.26,0.14,22.32,39.88,20.97,0.38
Quick 15,0.12,0.23,0.13,19.91,33.47,20.38,0.36
Quick 16,0.12,0.21,0.12,19.89,32.79,19.92,0.35
Quick 17,0.12,0.2,0.12,18.77,35.75,20.18,0.37
Quick 18,0.12,0.21,0.12,19.6,33.01,19.7,0.35
Quick 19,0.12,0.22,0.14,19.4,33.03,21.08,0.36
Quick 20,0.12,0.2,0.12,18.98,34.08,22.15,0.37
Quick 21,0.12,0.21,0.13,19.27,33.99,20.28,0.37
Quick 22,0.12,0.22,0.13,20.26,42.49,24.18,0.37
Quick 23,0.12,0.21,0.12,22.57,39.22,24.28,0.36
Quick 24,0.13,0.21,0.12,21.73,36.47,23.73,0.36
Quick 25,0.12,0.21,0.12,19.12,32.94,20.04,0.36
Quick 26,0.12,0.2,0.12,19.3,35.3,24.94,0.35
Quick 27,0.12,0.23,0.12,22.29,34.31,19.65,0.36
Quick 28,0.12,0.22,0.12,19.72,32.86,19.89,0.35
Quick 29,0.12,0.21,0.12,19.37,33.28,19.95,0.37
Average,0.2,0.36,0.2,32.37,52.79,31.78,0.6

Merge 0,0.18,0.26,0.18,25.69,39.01,24.66,0.75
Merge 1,0.17,0.27,0.18,23.85,43.3,23.61,0.67
Merge 2,0.16,0.25,0.17,24.26,38.65,26.6,0.62
Merge 3,0.17,0.24,0.17,22.82,41.3,23.83,0.61
Merge 4,0.17,0.26,0.16,23.67,42.38,23.67,0.62
Merge 5,0.17,0.26,0.17,23.19,38.19,23.82,0.62
Merge 6,0.18,0.25,0.18,25.06,38.03,23.96,0.63
Merge 7,0.17,0.25,0.17,26.7,42.54,24.29,0.61
Merge 8,0.16,0.25,0.16,26.84,40.06,25.08,0.61
Merge 9,0.17,0.25,0.18,24.91,37.87,23.22,0.6
Merge 10,0.18,0.25,0.17,25.48,38.28,23.48,0.59
Merge 11,0.17,0.25,0.16,22.86,37.96,23.94,0.62
Merge 12,0.18,0.25,0.18,26.38,40.93,25.19,0.6
Merge 13,0.16,0.25,0.16,25.41,40.04,25.61,0.62
Merge 14,0.16,0.25,0.18,24.68,39.6,26.05,0.6
Merge 15,0.18,0.26,0.17,25,41.42,26.7,0.61
Merge 16,0.17,0.25,0.17,25.93,40.86,25.04,0.62
Merge 17,0.17,0.26,0.16,26.37,40.5,26.78,0.61
Merge 18,0.18,0.25,0.19,26.96,40.58,24.44,0.62
Merge 19,0.17,0.25,0.17,24.66,40.38,24.58,0.61
Merge 20,0.17,0.25,0.17,25.22,39.53,26.56,0.62
Merge 21,0.16,0.25,0.18,24.73,38.76,23.77,0.59
Merge 22,0.17,0.25,0.17,23.45,38.08,23.77,0.6
Merge 23,0.17,0.26,0.17,22.38,38.1,24.97,0.62
Merge 24,0.16,0.24,0.16,24.94,40.19,26.6,0.61
Merge 25,0.17,0.25,0.17,24.92,42.23,26.41,0.62
Merge 26,0.16,0.25,0.17,22.77,38.02,23.51,0.61
Merge 27,0.18,0.24,0.16,23.33,41.3,23.44,0.61
Merge 28,0.16,0.25,0.17,22.58,38.41,22.98,0.62
Merge 29,0.16,0.25,0.17,22.71,46.96,38.18,0.61
Average,0.17,0.25,0.17,24.59,40.12,25.16,0.62

Radix 0,0.11,0.1,0.1,8.89,8.59,8.76,0.71
Radix 1,0.1,0.09,0.08,9.55,8.2,8.38,0.3
Radix 2,0.1,0.1,0.09,8.95,8.94,8.5,0.26
Radix 3,0.1,0.09,0.09,8.92,8.83,9.05,0.27
Radix 4,0.1,0.09,0.09,8.62,8.58,8.94,1.58
Radix 5,0.09,0.09,0.09,8.7,8.41,8.46,0.27
Radix 6,0.09,0.1,0.1,10.16,9.21,8.91,0.28
Radix 7,0.1,0.09,0.09,8.37,9.25,10.35,0.26
Radix 8,0.1,0.09,0.09,8.66,9.01,8.75,0.26
Radix 9,0.09,0.12,0.09,8.38,8.43,8.4,0.27
Radix 10,0.1,0.1,0.08,8.96,13.07,8.58,0.26
Radix 11,0.13,0.12,0.09,10.81,9.56,10.38,0.28
Radix 12,0.11,0.11,0.08,9.34,8.46,9.96,0.26
Radix 13,0.1,0.1,0.09,8.97,8.44,8.88,0.27
Radix 14,0.13,0.15,0.09,11.17,9.12,9.24,0.28
Radix 15,0.17,0.1,0.08,9.03,8.61,10.64,0.27
Radix 16,0.1,0.09,0.09,9.24,10.43,10.33,0.26
Radix 17,0.09,0.09,0.09,9.14,10.55,10.46,0.3
Radix 18,0.16,0.12,0.09,8.13,8.09,8.13,0.26
Radix 19,0.09,0.09,0.08,8,8.8,8.47,0.28
Radix 20,0.11,0.12,0.09,10.37,9.6,11.66,0.29
Radix 21,0.13,0.15,0.09,8.06,8.09,8.14,0.26
Radix 22,0.09,0.09,0.08,8.04,8.04,8.03,1.06
Radix 23,0.09,0.09,0.09,8.13,8.16,9.03,0.31
Radix 24,0.09,0.09,0.1,8.02,8.05,7.98,0.26
Radix 25,0.09,0.09,0.09,8.53,8.09,8.04,0.26
Radix 26,0.09,0.09,0.09,7.92,7.99,7.99,0.25
Radix 27,0.09,0.09,0.09,7.9,7.93,8.37,0.31
Radix 28,0.11,0.1,0.08,9.62,9.07,8.93,0.26
Radix 29,0.09,0.09,0.08,8.34,9.17,9.48,0.25
Average,0.1,0.1,0.09,8.9,8.89,9.04,0.36

Insertion 0,0.01,1.69,3.18,0.84,16032.15,31997.57,9.77
Insertion 1,0.01,1.69,3.23,0.86,15951.93,31971.99,9.72
Insertion 2,0.01,1.69,3.2,0.83,15954.42,32072.52,9.74
Insertion 3,0.01,1.69,3.18,0.85,16016.79,32048,9.66
Insertion 4,0.01,1.69,3.2,0.85,15967.68,31875.81,9.67
Insertion 5,0.01,1.68,3.17,0.84,15972.45,32107.14,9.7
Insertion 6,0.01,1.68,3.2,0.84,16020.37,31807.48,9.65
Insertion 7,0.01,1.69,3.18,0.83,15920.83,31861.13,9.74
Insertion 8,0.01,1.68,3.17,0.85,15946.91,31921.83,9.7
Insertion 9,0.01,1.7,3.2,0.84,15930.48,31886.6,9.66
Insertion 10,0.01,1.68,3.2,0.83,15998.65,31936.43,9.68
Insertion 11,0.01,1.67,3.19,0.84,15952.89,31878.01,9.65
Insertion 12,0.01,1.68,3.17,0.83,15941.16,31881.53,9.72
Insertion 13,0.01,1.68,3.18,0.84,15927.99,31926.11,10.63
Insertion 14,0.01,1.69,3.43,0.84,15947.05,31822.92,9.68
Insertion 15,0.01,1.69,3.19,0.84,15935.75,31809.67,9.66
Insertion 16,0.01,1.68,3.18,0.83,15941.41,31902.09,9.67
Insertion 17,0.01,1.68,3.17,0.83,15971.69,31858.23,9.62
Insertion 18,0.01,1.7,3.19,0.85,15968.34,31967.95,9.64
Insertion 19,0.01,1.72,3.18,0.83,15963.6,31857.42,9.68
Insertion 20,0.01,1.68,3.19,0.84,16029.05,31851.3,9.67
Insertion 21,0.01,1.68,3.18,0.85,15935.61,31823.08,10.04
Insertion 22,0.01,1.68,3.23,0.84,15957.98,31846.66,9.74
Insertion 23,0.01,1.68,3.21,0.84,15932.93,31895.16,9.69
Insertion 24,0.01,1.68,3.18,0.83,15937.64,31840.14,9.65
Insertion 25,0.01,1.67,3.23,0.83,15902.65,31892.1,9.7
Insertion 26,0.01,1.68,3.19,0.84,15945.52,31859.5,9.65
Insertion 27,0.01,1.68,3.17,0.83,15914.9,31828.66,9.71
Insertion 28,0.01,1.68,3.22,0.83,15941.77,31866.52,9.67
Insertion 29,0.01,1.68,3.19,0.83,15930.08,31848.98,9.9
Average,0.01,1.68,3.2,0.84,15956.36,31898.08,9.74

