Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings

QuickSort,0.2691,0.5721,0.262,43.5857,78.2241,42.8165,0.7907
QuickSort,0.2056,0.3797,0.2056,33.5905,54.7218,31.8505,0.8809
QuickSort,0.196,0.3204,0.1809,30.9943,53.0824,31.4611,0.7567

MergeSort,0.2356,0.3447,0.2461,34.4814,49.7133,29.4461,0.8941
MergeSort,0.2038,0.2974,0.1948,27.5137,43.6295,33.3324,0.8023
MergeSort,0.1762,0.2614,0.1739,25.6703,39.9229,24.4808,0.6223

RadixSort,0.0985,0.0924,0.088,8.684,8.3659,8.3226,0.271
RadixSort,0.1167,0.1174,0.0876,8.6756,8.5635,8.5368,0.2451
RadixSort,0.0983,0.0949,0.0904,8.3797,8.3268,8.2279,0.2554

InsertionSort,0.0117,1.6945,3.177,0.8426,15968.333,31860.3278,9.9079
InsertionSort,0.0082,1.6941,3.1877,0.8352,15901.7287,31786.4902,9.7745
InsertionSort,0.0082,1.6811,3.1751,0.8413,15900.1731,31801.1641,9.799
