Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings

Quick 0,0.24,0.28,0.18,25.43,39.23,24.98,0.69
Quick 1,0.16,0.25,0.15,21.67,35.26,22.58,0.68
Quick 2,0.14,0.26,0.14,22.62,35.95,22.65,0.8
Quick 3,0.15,0.24,0.14,21.73,35.19,22.72,0.53
Quick 4,0.14,0.24,0.14,21.59,35.09,22.5,0.48
Quick 5,0.15,0.26,0.16,21.64,35.09,22.49,0.49
Quick 6,0.14,0.23,0.16,21.71,34.69,22.26,0.46
Quick 7,0.15,0.23,0.15,23.01,35.8,22.56,0.48
Quick 8,0.14,0.23,0.14,21.67,35.23,22.41,0.49
Quick 9,0.14,0.25,0.15,21.71,35.2,22.54,0.47
Quick 10,0.15,0.25,0.14,21.63,35.5,22.67,0.48
Quick 11,0.14,0.23,0.15,21.73,35.38,22.49,0.47
Quick 12,0.14,0.24,0.16,22.08,35.09,22.33,0.47
Quick 13,0.15,0.25,0.14,21.41,34.99,22.61,0.51
Quick 14,0.15,0.24,0.15,21.39,34.92,22.25,0.48
Quick 15,0.14,0.25,0.15,21.6,35.2,22.41,0.48
Quick 16,0.14,0.23,0.14,21.57,34.91,22.37,0.48
Quick 17,0.14,0.23,0.15,21.44,34.9,22.45,0.48
Quick 18,0.15,0.24,0.14,21.35,34.89,22.36,0.48
Quick 19,0.14,0.25,0.14,21.45,34.75,22.38,0.49
Quick 20,0.14,0.25,0.14,21.39,34.76,22.5,0.48
Quick 21,0.14,0.25,0.14,21.34,34.96,22.37,0.47
Quick 22,0.14,0.23,0.16,21.53,35.06,22.7,0.48
Quick 23,0.14,0.23,0.14,21.47,34.93,22.56,0.49
Quick 24,0.13,0.23,0.14,21.48,34.95,22.36,0.49
Quick 25,0.13,0.23,0.16,21.52,35.65,23.58,0.49
Quick 26,0.15,0.25,0.14,21.64,35.83,22.57,0.46
Quick 27,0.13,0.23,0.16,22.28,35.09,22.49,0.48
Quick 28,0.15,0.23,0.14,21.78,35.48,22.56,0.49
Quick 29,0.14,0.23,0.14,21.62,36.1,22.66,0.48
Average,0.15,0.24,0.15,21.82,35.34,22.61,0.51

Merge 0,0.2,0.29,0.21,27.15,42.98,27.96,1.04
Merge 1,0.2,0.29,0.21,26.26,44.48,27.98,1.05
Merge 2,0.21,0.32,0.22,24.14,41.04,26.54,0.81
Merge 3,0.18,0.28,0.19,24.88,40.97,25.56,0.8
Merge 4,0.18,0.28,0.19,25.81,41.39,25.78,0.79
Merge 5,0.2,0.29,0.19,23.91,40.71,25.48,0.81
Merge 6,0.2,0.29,0.21,23.96,40.92,25.45,0.8
Merge 7,0.19,0.29,0.2,24.14,40.95,25.55,0.79
Merge 8,0.18,0.28,0.19,24.01,41.08,25.7,0.8
Merge 9,0.18,0.28,0.19,24.01,41.05,25.45,0.81
Merge 10,0.18,0.29,0.19,23.93,40.88,25.54,0.81
Merge 11,0.2,0.29,0.21,23.88,40.97,25.59,0.8
Merge 12,0.18,0.27,0.19,24.12,40.96,25.62,0.82
Merge 13,0.19,0.29,0.2,24.14,41.12,25.59,0.83
Merge 14,0.18,0.27,0.2,24.02,40.69,25.66,0.8
Merge 15,0.2,0.29,0.21,23.96,40.78,25.42,0.8
Merge 16,0.18,0.28,0.19,24.06,40.92,25.67,0.8
Merge 17,0.18,0.28,0.19,23.99,41.06,25.48,0.81
Merge 18,0.2,0.29,0.19,24.03,40.91,25.46,0.81
Merge 19,0.19,0.29,0.2,23.96,40.88,25.49,0.8
Merge 20,0.2,0.29,0.21,24.01,40.96,25.39,0.79
Merge 21,0.18,0.29,0.19,23.97,41.24,25.68,0.82
Merge 22,0.19,0.29,0.2,24.03,40.89,25.49,0.82
Merge 23,0.19,0.29,0.19,23.93,40.92,25.58,0.82
Merge 24,0.2,0.29,0.19,24.24,41.11,26.76,0.82
Merge 25,0.18,0.28,0.19,24.24,41.04,25.61,0.8
Merge 26,0.18,0.28,0.2,23.96,41.3,25.55,0.82
Merge 27,0.18,0.28,0.2,24.28,41.23,26.13,0.82
Merge 28,0.21,0.28,0.19,24.63,41.3,25.46,0.82
Merge 29,0.2,0.3,0.21,24.17,41.26,25.72,0.83
Average,0.19,0.29,0.2,24.33,41.2,25.81,0.82

Radix 0,0.08,0.08,0.07,6.35,6.36,6.34,0.35
Radix 1,0.08,0.08,0.07,6.3,6.28,6.27,0.33
Radix 2,0.08,0.08,0.09,6.32,6.25,6.26,0.31
Radix 3,0.08,0.08,0.07,6.41,6.33,6.33,0.33
Radix 4,0.08,0.08,0.07,6.31,6.4,6.38,0.96
Radix 5,0.09,0.09,0.09,6.41,6.34,6.34,0.33
Radix 6,0.09,0.11,0.09,6.35,6.43,6.25,0.35
Radix 7,0.08,0.08,0.07,6.35,6.25,6.34,0.33
Radix 8,0.09,0.08,0.07,6.36,6.38,6.34,0.33
Radix 9,0.07,0.08,0.07,6.32,6.28,6.29,0.33
Radix 10,0.08,0.08,0.07,6.34,6.3,6.25,0.33
Radix 11,0.08,0.08,0.08,6.37,6.28,6.2,0.33
Radix 12,0.07,0.07,0.07,6.27,6.3,6.28,0.34
Radix 13,0.07,0.07,0.07,6.25,6.27,6.25,0.32
Radix 14,0.08,0.07,0.07,6.26,6.26,6.25,0.34
Radix 15,0.07,0.07,0.07,6.28,6.28,6.26,0.33
Radix 16,0.07,0.07,0.07,6.31,6.25,6.25,0.34
Radix 17,0.07,0.07,0.07,6.31,6.27,6.27,0.33
Radix 18,0.07,0.07,0.07,6.27,6.22,6.28,0.33
Radix 19,0.07,0.08,0.07,6.23,6.29,6.29,0.33
Radix 20,0.07,0.07,0.07,6.25,6.24,6.29,0.34
Radix 21,0.07,0.07,0.07,6.34,6.27,6.3,0.33
Radix 22,0.07,0.07,0.07,6.3,6.26,6.25,0.33
Radix 23,0.07,0.07,0.07,6.47,6.27,6.23,1.12
Radix 24,0.07,0.07,0.07,6.26,6.25,6.2,0.33
Radix 25,0.07,0.09,0.08,6.3,6.21,6.23,0.34
Radix 26,0.07,0.07,0.07,6.26,6.29,6.22,0.32
Radix 27,0.07,0.07,0.09,6.23,6.23,6.24,0.31
Radix 28,0.07,0.07,0.07,6.28,6.57,6.48,0.32
Radix 29,0.07,0.07,0.09,6.28,6.31,6.24,0.32
Average,0.08,0.08,0.07,6.31,6.3,6.28,0.38

Insertion 0,0.01,1.8,3.42,0.92,17007.13,36473.88,13.86
Insertion 1,0.01,2.23,4.23,0.93,17005.4,33984.31,13.86
Insertion 2,0.01,1.83,3.41,0.92,16998.98,33965.58,13.73
Insertion 3,0.01,1.81,3.66,0.92,18622.88,34179.25,13.77
Insertion 4,0.01,2,3.82,1.06,17024.34,34005.43,13.8
Insertion 5,0.01,1.82,3.42,0.92,17027.63,34024.8,13.79
Insertion 6,0.01,1.81,3.42,0.94,17049.55,34012.73,13.87
Insertion 7,0.01,1.82,3.43,0.92,17575.93,34092.33,13.72
Insertion 8,0.01,1.8,3.43,0.92,17278.29,34009.14,14.02
Insertion 9,0.01,1.84,3.53,0.99,17308.76,34793.46,13.92
Insertion 10,0.01,1.8,3.44,0.92,17033.72,34029.28,13.81
Insertion 11,0.01,1.8,3.4,0.91,17044.68,34050.85,13.77
Insertion 12,0.01,1.8,3.5,0.93,17030.19,35688.95,13.87
Insertion 13,0.01,1.83,3.41,0.9,17132.36,34031.29,13.83
Insertion 14,0.01,1.79,3.43,0.91,17191.23,35060.18,13.79
Insertion 15,0.03,1.78,3.42,0.92,17028.84,34593.28,13.73
Insertion 16,0.01,1.8,3.42,0.92,17004.18,34950.11,13.8
Insertion 17,0.01,2.02,3.49,0.95,17033.98,34047.99,13.88
Insertion 18,0.01,1.82,3.42,0.9,17081.52,34391.02,13.8
Insertion 19,0.01,1.85,3.46,0.91,17033,34029.91,13.77
Insertion 20,0.01,1.8,3.46,0.93,17025.58,33972.6,13.86
Insertion 21,0.01,1.82,3.44,0.92,17138.48,34050.38,13.86
Insertion 22,0.01,1.85,3.41,0.92,17027.85,34068.62,13.75
Insertion 23,0.01,1.82,3.43,0.9,17075.38,34060.24,13.75
Insertion 24,0.01,1.81,3.44,0.92,17059,35348.8,13.69
Insertion 25,0.01,1.83,3.41,0.92,17415.32,34191.77,13.83
Insertion 26,0.01,1.82,3.45,0.93,17165.2,34802.87,13.85
Insertion 27,0.01,1.82,3.43,0.9,17546.14,34239.44,13.76
Insertion 28,0.01,1.82,3.43,0.92,17103.38,34502.92,13.81
Insertion 29,0.01,1.81,3.39,0.91,17212.5,34384.41,13.8
Average,0.01,1.84,3.48,0.93,17176.05,34401.19,13.81

